首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,6岁及以上各种受教育程度人口,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,,文盲人口占15岁及以上人口比重（%）,,
,未上过学,,小学,小学,初中,初中,高中,高中,大学专科,大学专科,大学本科及以上,大学本科及以上,,,,,,,,,
,男,女,男,女,男,女,男,女,男,女,男,女,合计,男,女,合计,男,女,合计,男,女
佳木斯市,19999,36938,272422,293284,649230,591483,213923,190344,59742,51537,31282,28881,9.29,9.46,9.12,48155,15855,32300,2.16,1.39,2.95
  向阳区,649,1493,12196,13922,41390,41999,31280,31713,12110,11120,14378,14519,11.32,11.46,11.18,1600,416,1184,0.76,0.40,1.10
  前进区,538,1072,8127,9824,28108,29086,32362,31030,10163,8742,4581,3767,11.13,11.32,10.94,1127,346,781,0.72,0.44,1.00
  东风区,1110,1707,13509,14664,43940,40962,17260,15844,3156,2982,1062,987,9.47,9.57,9.37,1876,653,1223,1.28,0.87,1.69
  郊区,2534,4245,37666,39514,90451,81625,18268,15313,5559,4540,1547,1208,8.81,8.96,8.65,5818,2088,3730,2.08,1.45,2.75
  桦南县,4633,8464,59187,64927,129206,115763,26772,22665,6129,5303,1606,1529,8.64,8.83,8.44,11325,3761,7564,2.81,1.83,3.81
  桦川县,1874,3615,22653,24692,51097,47567,16871,13712,3782,3096,1474,1277,9.05,9.28,8.81,4785,1546,3239,2.74,1.75,3.77
  汤原县,2394,4568,30538,33422,68396,61619,17068,14881,4579,3808,1323,1118,8.83,9.02,8.63,6277,2055,4222,2.80,1.80,3.84
  抚远县,925,1729,16746,15869,35342,28008,8674,6751,2482,1995,737,610,8.92,9.06,8.74,2292,766,1526,2.12,1.31,3.08
  同江市,1534,3060,20054,21480,46776,41933,13527,11114,4282,3634,1378,1137,9.12,9.33,8.90,4004,1245,2759,2.61,1.58,3.70
  富锦市,3808,6985,51746,54970,114524,102921,31841,27321,7500,6317,3196,2729,8.96,9.14,8.78,9051,2979,6072,2.41,1.55,3.31
七台河市,6831,14783,102010,113578,247797,223763,55580,45839,25530,20886,9073,7588,9.07,9.29,8.83,18744,5476,13268,2.34,1.34,3.39
  新兴区,1882,4021,24195,26934,74639,65441,11229,9079,3401,3101,968,860,8.74,8.93,8.54,5168,1539,3629,2.48,1.43,3.60
  桃山区,726,1611,16136,18525,49283,49568,23357,20904,15623,12412,6213,5111,10.58,10.83,10.33,1886,518,1368,0.94,0.51,1.39
  茄子河区,1345,2722,18622,19552,46889,40422,6146,4394,2016,1724,649,514,8.55,8.75,8.33,3564,1096,2468,2.68,1.58,3.89
  勃利县,2878,6429,43057,48567,76986,68332,14848,11462,4490,3649,1243,1103,8.42,8.69,8.15,8126,2323,5803,3.14,1.77,4.54
牡丹江市,22943,47638,280746,307019,670419,614304,252460,232574,85994,82985,39117,43443,9.50,9.65,9.35,61374,18722,42652,2.47,1.50,3.46
  东安区,917,1937,13228,13803,35311,33022,30314,29780,11789,11056,6610,5948,10.93,11.04,10.82,2336,687,1649,1.29,0.75,1.85
  阳明区,2173,4903,27015,29917,55085,49988,22814,20871,6554,5875,2512,2268,9.26,9.48,9.04,6244,1809,4435,2.93,1.68,4.20
  爱民区,1465,3411,16645,19417,52616,49652,32863,31663,14093,16167,11325,18458,10.94,10.89,10.99,4047,1071,2976,1.60,0.88,2.26
  西安区,1109,2807,15429,18849,45419,44844,32889,32529,15892,16712,7282,6371,10.87,11.04,10.70,3049,762,2287,1.36,0.70,2.01
  东宁县,1987,5191,22612,23845,49957,42342,16572,15004,5131,4508,1745,1687,9.10,9.34,8.84,6676,1762,4914,3.83,1.97,5.79
  林口县,4138,7371,51774,55387,95409,85290,20926,17182,6292,5330,1693,1446,8.54,8.74,8.34,9950,3432,6518,3.05,2.06,4.09
  绥芬河巿,457,929,10743,11458,34309,31854,12219,11017,4302,3849,1906,1595,9.87,10.00,9.73,1065,294,771,0.94,0.51,1.40
  海林市,4232,9085,41580,45023,108182,98932,29652,26923,8493,7641,2774,2567,8.99,9.19,8.79,11859,3571,8288,3.31,1.97,4.68
  宁安市,3317,6491,52137,57724,112809,106171,30985,28285,7566,6924,2059,2004,8.91,9.07,8.75,8486,2682,5804,2.21,1.40,3.03
  穆棱市,3148,5513,29583,31596,81322,72209,23226,19320,5882,4923,1211,1099,9.03,9.21,8.83,7662,2652,5010,2.97,1.99,4.03
黑河市,17933,38284,203887,225749,395642,354147,129619,117097,41891,35826,18685,17771,9.04,9.27,8.80,49732,14951,34781,3.41,2.03,4.82
  爱辉区,1259,3122,19880,21653,42207,36271,21621,20191,10324,9487,7837,8248,10.32,10.46,10.18,3684,934,2750,1.97,0.98,3.01
  嫩江县,4881,10713,59742,66252,125779,113716,35095,31146,9721,8203,3064,2624,8.87,9.11,8.62,13715,3994,9721,3.21,1.85,4.59
  逊克县,1081,2298,13455,14736,23490,21321,7275,6298,2520,2213,844,865,8.90,9.13,8.66,2995,907,2088,3.42,2.06,4.82
  孙吴县,1420,3207,13888,14888,24305,21416,6298,5131,2501,2161,1022,911,8.71,9.01,8.39,4127,1194,2933,4.68,2.67,6.76
  北安市,6016,12202,56480,63317,98188,89171,35261,33929,8972,7660,3469,3109,8.81,9.06,8.56,16141,5026,11115,4.21,2.63,5.77
  五大连池市,3276,6742,40442,44903,81673,72252,24069,20402,7853,6102,2449,2014,8.91,9.16,8.64,9070,2896,6174,3.19,1.99,4.44
绥化市,46446,94350,740950,883497,1405892,1246984,307543,246787,73801,58484,28173,25772,8.52,8.78,8.26,124094,38667,85427,2.63,1.63,3.64
  北林区,6983,14666,104918,124726,222172,204136,56940,48336,17596,14394,10323,11303,8.92,9.15,8.69,19045,5789,13256,2.48,1.51,3.44
  望奎县,4990,10434,77227,92992,103614,90069,24566,18659,6081,4842,1258,1040,8.12,8.43,7.80,13935,4277,9658,3.48,2.14,4.80
  兰西县,3684,8811,60105,79631,105701,99336,18225,14569,4159,3227,1586,1329,8.24,8.59,7.92,11336,3156,8180,3.16,1.85,4.34
  青冈县,3118,5680,69229,84900,126908,106379,26978,20194,4962,3681,1390,1056,8.41,8.67,8.13,7615,2543,5072,1.83,1.20,2.49
  庆安县,2833,5634,53900,62566,102316,90338,21492,16967,5383,4185,1905,1487,8.56,8.81,8.31,7451,2374,5077,2.23,1.40,3.08
  明水县,1892,4141,44867,54885,88984,75106,15340,11200,4187,3073,890,721,8.44,8.71,8.15,5348,1584,3764,1.91,1.11,2.74
  绥棱县,3628,7342,46150,52596,87829,77140,16832,13779,5129,4187,1520,1293,8.44,8.69,8.18,9617,3044,6573,3.31,2.07,4.58
  安达市,4465,9069,63986,72775,129292,113769,23710,19724,6019,4869,1938,1670,8.49,8.72,8.25,11904,3726,8178,2.88,1.78,4.02
  肇东市,8878,16665,132366,149837,222557,195518,56699,47090,11628,9344,4468,3551,8.48,8.72,8.24,22396,7278,15118,2.85,1.83,3.90
  海伦市,5975,11908,88202,108589,216519,195193,46761,36269,8657,6682,2895,2322,8.65,8.90,8.39,15447,4896,10551,2.31,1.45,3.19
大兴安岭地区,4148,9711,42480,47357,140484,120446,44135,39007,16970,15995,8203,7233,9.59,9.78,9.39,12547,3538,9009,2.74,1.49,4.06
  加格达奇,1064,2292,11659,13449,36605,34587,15345,13900,6477,6694,3849,3223,10.08,10.26,9.90,2889,842,2047,2.10,1.22,2.99
  松岭区,158,377,2888,2952,11660,7302,2880,2074,987,836,337,346,9.48,9.57,9.35,441,120,321,1.45,0.68,2.52
  新林区,391,1245,3793,4376,15367,13337,3796,3456,1442,1368,620,570,9.38,9.62,9.13,1534,348,1186,3.31,1.47,5.23
  呼中区,379,987,3498,4134,14020,11511,3364,2946,1325,1178,382,391,9.31,9.52,9.07,1244,329,915,3.02,1.53,4.65
  呼玛县,727,1435,6702,6811,12927,10792,3252,3011,1307,1204,801,665,8.91,9.11,8.68,2002,642,1360,4.41,2.73,6.22
  塔河县,898,2150,7756,8704,25778,22239,7963,6940,2759,2531,1187,1098,9.40,9.62,9.16,2915,836,2079,3.49,1.95,5.13
  漠河县,531,1225,6184,6931,24127,20678,7535,6680,2673,2184,1027,940,9.66,9.83,9.46,1522,421,1101,2.04,1.09,3.09
,,,,,,,,,,,,,,,,,,,,,
上海市,145603,549013,1422336,1699472,4524227,3882231,2558656,2264565,1164649,1051846,1541613,1281457,10.73,11.07,10.38,631363,120720,510643,3.00,1.12,4.99
市辖区,131206,501442,1335086,1607523,4363139,3755991,2502194,2219413,1148026,1038904,1530700,1272617,10.81,11.13,10.47,571679,107320,464359,2.80,1.03,4.68
  黄浦区,1150,7450,16181,27611,76355,72050,61670,58021,23212,21068,28132,24447,11.16,11.56,10.78,7418,823,6595,1.86,0.42,3.26
  卢湾区,549,3703,8009,13751,33668,34508,33834,35343,15358,14479,26012,23142,11.90,12.31,11.52,3749,389,3360,1.61,0.35,2.79
  徐汇区,2753,15139,36957,55938,134013,130528,133755,137970,76584,73926,138043,116010,12.28,12.65,11.92,15653,1997,13656,1.56,0.40,2.69
  长宁区,1960,10820,21423,33838,80806,81515,88423,93968,48010,49684,82759,76187,12.29,12.64,11.97,10800,1366,9434,1.68,0.44,2.83
  静安区,524,3194,7177,12951,30665,31060,32279,35570,17153,16764,27623,25314,12.21,12.58,11.87,3019,346,2673,1.31,0.31,2.23
  普陀区,3688,19186,47732,69712,195406,180911,177844,171488,89258,80390,113581,95995,11.71,12.04,11.38,19531,2592,16939,1.63,0.43,2.85
  闸北区,2590,13485,29277,45300,134124,126039,120896,115134,54011,47301,64603,51988,11.50,11.87,11.12,12783,1676,11107,1.66,0.43,2.90
  虹口区,2294,13613,29049,46098,119018,118724,118456,117873,57828,52064,82530,69783,11.83,12.23,11.43,14530,1773,12757,1.83,0.45,3.17
  杨浦区,3455,20225,41991,66005,198696,184781,174761,168769,88736,77736,137384,113092,11.85,12.22,11.48,20002,2369,17633,1.63,0.38,2.90
  闵行区,11382,40603,133872,159498,483839,422323,249586,222733,124279,116221,192930,152619,11.01,11.29,10.71,45793,8597,37196,2.08,0.76,3.50
  宝山区,8387,33784,104357,123902,437464,348957,222129,181829,100033,83531,100624,79025,10.66,10.93,10.35,37373,6419,30954,2.15,0.69,3.82
  嘉定区,10398,38280,102425,115459,385609,306721,154794,110660,55002,45279,47771,37093,9.86,10.20,9.46,45834,9083,36751,3.40,1.26,5.88
  浦东新区,29537,120198,321503,381116,1026042,871501,512873,446128,247694,228744,345806,282244,10.69,11.03,10.33,136134,24030,112104,2.98,1.02,5.06
  金山区,9261,34000,80783,86431,152359,131118,70621,55766,25751,22627,19536,16562,9.26,9.75,8.75,40980,8353,32627,6.18,2.48,9.98
  松江区,13868,43793,122362,131904,339099,286779,176866,142451,61768,53071,72533,64158,10.13,10.45,9.78,53196,11863,41333,3.71,1.59,6.00
  青浦区,14879,41812,115812,116503,274870,215065,89928,63495,29796,26162,22854,20065,9.08,9.44,8.67,52379,13004,39375,5.37,2.51,8.61
  奉贤区,14531,42157,116176,121506,261106,213411,83479,62215,33553,29857,27979,24893,9.19,9.57,8.78,52505,12640,39865,5.44,2.52,8.60
县,14397,47571,87250,91949,161088,126240,56462,45152,16623,12942,10913,8840,8.42,9.03,7.80,59684,13400,46284,9.23,4.06,14.62
  崇明县,14397,47571,87250,91949,161088,126240,56462,45152,16623,12942,10913,8840,8.42,9.03,7.80,59684,13400,46284,9.23,4.06,14.62
,,,,,,,,,,,,,,,,,,,,,
江苏省,793662,2654558,8283702,10749375,16111145,14311868,7229593,5474164,2673313,2226149,2051388,1560558,9.32,9.87,8.78,2982959,628653,2354306,4.36,1.85,6.85
南京市,59536,198734,569560,713496,1291193,1081853,903091,764542,487293,427729,657720,519131,10.99,11.40,10.55,210267,43357,166910,2.90,1.16,4.77
  玄武区,1361,5143,22076,26925,68344,58808,69082,69080,65418,56864,104625,81591,13.06,13.29,12.80,4821,781,4040,0.80,0.25,1.42
  白下区,2414,9331,24283,29989,75266,70347,79860,82059,48176,47419,63802,46741,12.14,12.47,11.81,9792,1729,8063,1.78,0.62,2.96
  秦淮区,2023,7222,19557,23019,80910,64040,55418,51162,24948,22695,22248,17032,11.04,11.26,10.79,8023,1576,6447,2.16,0.81,3.65
  建邺区,2394,7910,23921,26352,75636,57368,52296,48127,28443,26910,31657,24906,11.33,11.54,11.10,9316,1988,7328,2.43,0.98,4.05
  鼓楼区,2347,9354,29192,35462,72831,71830,88118,93787,59231,63074,146920,124564,13.11,13.38,12.83,9396,1565,7831,1.25,0.42,2.07
  下关区,2159,8024,23136,27107,85661,67059,64741,57744,31734,25974,21110,15068,11.02,11.29,10.71,9127,1728,7399,2.23,0.79,3.86
  浦口区,5359,18984,52319,68172,124664,100968,80070,59365,31008,25681,62890,50771,10.74,11.19,10.23,19212,3901,15311,2.99,1.16,5.01
  栖霞区,2819,11991,33572,43696,96949,81017,79636,67365,46352,41264,60185,57974,11.65,11.92,11.37,12476,2060,10416,2.09,0.68,3.59
  雨花台区,3497,11651,28238,28107,69768,51513,44211,35624,24024,20293,33527,23041,10.95,11.32,10.52,13417,2824,10593,3.81,1.47,6.60
  江宁区,10353,31680,104217,128845,185577,165634,110635,85124,68627,57369,84257,61381,10.50,11.02,9.96,34430,7904,26526,3.34,1.49,5.30
  六合区,9141,40752,92662,137478,190512,149962,98017,65423,37055,25600,17735,10745,9.15,9.94,8.34,44217,7427,36790,5.42,1.80,9.16
  溧水县,7405,16916,53553,65238,83531,72640,44144,28159,12975,8331,4695,2917,8.74,9.31,8.14,11392,3007,8385,3.06,1.57,4.64
  高淳县,8264,19776,62834,73106,81544,70667,36863,21523,9302,6255,4069,2400,8.27,8.86,7.65,24648,6867,17781,6.73,3.67,9.91
无锡市,34730,120387,616631,727689,1432800,1224368,632201,502954,270861,230459,179786,139864,9.81,10.14,9.45,125898,24490,101408,2.20,0.83,3.67
  崇安区,1287,3678,12982,15887,44335,39428,27840,26596,14953,13708,10604,8016,10.92,11.19,10.64,3663,748,2915,1.78,0.71,2.88
  南长区,1586,6318,20752,26474,64321,61106,48320,44930,27666,24960,20970,16240,11.18,11.54,10.82,6474,1114,5360,1.90,0.65,3.16
  北塘区,2293,6987,23159,26704,67889,59455,40428,35966,18869,16664,13478,10412,10.51,10.82,10.19,7919,1765,6154,2.62,1.13,4.18
  锡山区,3737,14279,72171,82067,170309,142257,61293,45981,20441,17932,12311,9350,9.35,9.68,8.99,15816,2917,12899,2.58,0.92,4.39
  惠山区,3532,11846,70287,78314,180006,144435,60073,41098,26610,24512,11499,8669,9.52,9.80,9.21,13084,2490,10594,2.12,0.76,3.66
  滨湖区,5274,17730,88900,104839,251685,214963,133450,112680,76220,61275,60729,50590,10.66,10.94,10.35,18246,3588,14658,1.64,0.62,2.76
  江阴市,8402,33285,177724,212570,373417,322708,149058,110512,48455,40513,29448,21780,9.32,9.70,8.91,34031,5924,28107,2.39,0.81,4.06
  宜兴市,8619,26264,150656,180834,280838,240016,111739,85191,37647,30895,20747,14807,9.17,9.54,8.78,26665,5944,20721,2.41,1.05,3.84
徐州市,114970,323845,879796,1143807,1822987,1660328,672000,496910,223357,177642,131656,98899,8.92,9.50,8.37,392008,96603,295405,5.57,2.81,8.22
  鼓楼区,2610,8470,34204,42210,88961,89203,65556,56885,24682,22727,11267,8304,10.38,10.74,10.03,9780,2072,7708,2.33,0.99,3.64
  云龙区,1912,5847,22498,26201,61292,58776,44313,41347,19041,15886,13800,13877,10.75,11.02,10.48,7070,1598,5472,2.34,1.06,3.61
  九里区,1140,3292,12262,14322,35894,32236,17025,12680,9353,6819,1612,1044,9.89,10.28,9.46,3859,923,2936,2.80,1.29,4.46
  贾汪区,7238,18549,49772,60318,98890,86787,31296,20607,6748,4945,2836,2105,8.39,8.94,7.85,23417,6239,17178,6.57,3.52,9.58
  泉山区,1705,5856,24615,31437,61849,68805,69487,67762,49833,41373,57654,35735,12.20,12.69,11.68,6101,1107,4994,1.27,0.45,2.13
  丰县,14946,44212,112446,139818,229006,200861,60536,39935,14196,9850,4898,3485,8.29,8.91,7.70,53168,12551,40617,6.78,3.28,10.11
  沛县,15307,42969,102961,128856,262216,255229,99148,71115,24407,18415,8727,5719,8.87,9.41,8.35,53612,13487,40125,5.66,2.92,8.26
  铜山县,15275,38604,120927,158014,239082,229863,61709,43593,16170,14404,12185,15784,8.53,8.96,8.15,48306,12947,35359,5.44,3.07,7.59
  睢宁县,22103,72504,118925,162277,219037,187801,74951,46971,16025,11017,5680,3751,7.95,8.84,7.15,87058,19766,67292,10.46,5.00,15.38
  新沂市,17534,46416,97907,129429,195099,167001,63597,43111,20275,15148,5978,4354,8.37,9.03,7.74,58401,15348,43053,7.96,4.26,11.51
  邳州市,15200,37126,183279,250925,331661,283766,84382,52904,22627,17058,7019,4741,8.42,8.94,7.92,41236,10565,30671,3.58,1.87,5.23
常州市,42956,133085,441592,522589,1011826,907824,433907,346358,169759,142314,128128,98087,9.57,10.00,9.14,150916,33102,117814,3.71,1.61,5.88
  天宁区,2451,7863,33649,41446,94639,91312,59565,54674,29155,27998,28250,20810,10.86,11.19,10.52,8589,1725,6864,1.88,0.76,3.02
  钟楼区,2906,8909,31718,40018,89153,80753,58858,53341,29580,26394,33673,28636,11.03,11.34,10.71,10649,2315,8334,2.36,1.01,3.75
  戚墅堰区,684,2645,7934,9333,21616,19060,13246,10690,5669,4019,3386,2030,10.18,10.66,9.66,3020,563,2457,3.23,1.15,5.49
  新北区,3384,15967,52476,63247,134503,113802,58101,41412,26906,22118,20443,15117,9.85,10.31,9.35,17753,2767,14986,3.35,1.00,5.88
  武进区,11181,37141,171305,197758,399776,339358,121777,91235,44453,36577,23103,17677,9.15,9.51,8.76,38483,7371,31112,2.78,1.03,4.64
  溧阳市,13900,33992,82078,94945,157809,150624,73775,57032,18332,13439,11174,7746,8.85,9.37,8.35,41532,11333,30199,6.32,3.48,9.12
  金坛市,8450,26568,62432,75842,114330,112915,48585,37974,15664,11769,8099,6071,8.79,9.38,8.24,30890,7028,23862,6.29,2.95,9.42
苏州市,60567,226816,1018567,1247770,2140765,1883018,1094013,903910,472125,412773,325267,252892,9.85,10.23,9.46,248301,49238,199063,2.61,1.02,4.26
  沧浪区,1422,6589,21647,28667,51499,49920,47761,47548,29128,28608,36286,29247,11.73,12.12,11.35,6489,991,5498,1.82,0.56,3.05
  平江区,4805,19938,63173,76189,136865,122109,131833,126511,62656,54153,68339,54259,11.18,11.56,10.80,21656,3787,17869,2.47,0.85,4.13
  金阊区,2291,7409,20496,24957,50242,46059,33719,30217,18354,19274,13769,10856,10.69,11.04,10.35,8557,1847,6710,3.27,1.42,5.11
  虎丘区,3411,14533,50278,61591,89219,75544,66604,60775,35886,32992,30099,23293,10.57,10.98,10.14,16911,2983,13928,3.28,1.15,5.46
  吴中区,5597,24075,107998,135309,244823,218633,116451,92651,54646,51568,31083,25114,9.84,10.21,9.48,26280,4591,21689,2.49,0.86,4.16
  相城区,4848,17809,79233,92980,168954,138855,55653,37591,24653,19071,11230,8775,9.14,9.56,8.69,19902,3881,16021,3.19,1.19,5.37
  常熟市,9318,39157,191192,239643,312915,271867,142337,113542,47080,39476,28713,23673,9.14,9.58,8.71,43137,8181,34956,3.14,1.19,5.10
  张家港市,5918,24809,119547,156139,286467,259659,110643,83982,52099,46117,30139,21472,9.62,10.04,9.20,27120,4701,22419,2.42,0.83,4.03
  昆山市,5526,19174,124833,148074,338948,292160,230568,185917,88128,71626,44200,31916,10.34,10.61,10.03,20029,4033,15996,1.32,0.51,2.23
  吴江市,11257,36384,158984,183858,290978,262197,102824,84963,34300,28869,18419,14071,8.93,9.30,8.56,42536,9754,32782,3.66,1.67,5.66
  太仓巿,6174,16939,81186,100363,169855,146015,55620,40213,25195,21019,12990,10216,9.19,9.57,8.78,15684,4489,11195,2.44,1.37,3.56
南通市,67172,229099,949169,1278734,1397430,1433121,580802,503347,187027,168099,113632,89853,8.83,9.31,8.40,240345,48161,192184,3.69,1.58,5.55
  崇川区,4458,13404,64156,80392,138925,131313,92048,85280,65250,62914,52178,44093,11.08,11.39,10.79,14309,3052,11257,1.83,0.78,2.87
  港闸区,1644,6095,28700,36186,62838,52240,23431,18923,10014,9927,3325,2625,9.31,9.65,8.97,6866,1298,5568,2.83,1.06,4.66
  通州区,6836,23837,170109,240269,222785,234979,74625,66206,18459,16504,9882,7730,8.46,8.86,8.12,23240,4324,18916,2.29,0.93,3.43
  海安县,9209,34845,107182,144329,161399,179090,80417,65700,20817,16225,9628,6596,8.73,9.33,8.22,38213,7351,30862,4.92,2.05,7.38
  如东县,18930,58383,160060,178773,179742,178399,79019,67609,16356,13659,8227,5992,8.08,8.59,7.61,58097,12827,45270,6.41,2.96,9.56
  启东市,13605,47018,130728,165015,192592,209615,65076,61503,18201,16330,9826,7874,8.37,8.87,7.96,54395,11481,42914,6.25,2.90,9.05
  如皋市,6893,23065,197383,297005,244902,222751,90760,66720,21514,17499,10365,7316,8.39,8.90,7.94,21979,4005,17974,1.97,0.77,3.04
  海门市,5597,22452,90851,136765,194247,224734,75426,71406,16416,15041,10201,7627,9.01,9.47,8.63,23246,3823,19423,2.90,1.07,4.38
连云港市,67696,169397,487022,619908,909643,803534,361388,259146,107308,86746,71540,50442,8.90,9.50,8.32,212178,56879,155299,6.00,3.27,8.63
  连云区,3224,9018,18027,20998,39369,34097,33287,25683,10219,7675,9948,6481,10.12,10.70,9.49,11160,2750,8410,5.55,2.63,8.71
  新浦区,4775,13159,41645,45384,94613,80744,74864,63106,40150,37568,33118,24124,11.06,11.41,10.69,16252,4029,12223,3.23,1.54,5.03
  海州区,3096,9107,21777,27410,48585,42732,24949,18883,6719,5309,3020,2139,9.21,9.79,8.63,10514,2477,8037,5.48,2.59,8.35
  赣榆县,19345,45117,110554,138001,197225,193939,67997,45438,15205,10962,8088,5838,8.37,9.00,7.81,58980,16896,42084,7.81,4.74,10.54
  东海县,19653,42466,111944,137794,200819,188238,62788,46820,14340,11521,9100,6837,8.39,8.92,7.90,56004,16785,39219,7.44,4.65,10.02
  灌云县,9937,29185,102109,144175,189805,146332,56864,33992,11921,7761,4838,2990,8.36,9.04,7.68,35184,8305,26879,5.44,2.58,8.28
  灌南县,7666,21345,80966,106146,139227,117452,40639,25224,8754,5950,3428,2033,8.36,8.99,7.76,24084,5637,18447,4.94,2.37,7.40
淮安市,62308,212362,528329,754623,999464,869591,411059,269232,119233,95235,72901,52857,8.78,9.51,8.09,234834,48468,186366,5.88,2.49,9.09
  清河区,3798,11484,36664,44367,83755,76478,68687,53795,38002,34209,30286,22421,11.03,11.45,10.59,13356,2959,10397,2.87,1.24,4.62
  楚州区,13966,47347,133537,184461,211082,173882,70904,42342,17243,11134,6577,3929,8.17,8.93,7.45,49477,10123,39354,6.01,2.53,9.29
  淮阴区,11441,36735,82693,116228,170254,149173,62624,40923,13968,14545,11509,11563,8.73,9.38,8.13,41667,9084,32583,6.49,2.94,9.78
  清浦区,3593,11641,31555,41450,62886,58286,36794,29369,13056,10298,7923,5322,9.58,10.19,8.98,13417,2925,10492,4.75,2.10,7.34
  涟水县,10833,38129,97832,1138097,188950,177778,58723,35933,13582,9269,4559,2759,8.37,9.12,7.70,42705,8376,34329,6.30,2.62,9.58
  洪泽县,4984,17781,38361,58565,67844,58162,28779,17264,6132,4088,2872,1648,8.33,9.19,7.52,20950,4372,16578,7.59,3.29,11.58
  盱眙县,9725,29771,70793,116622,151262,120364,50773,29387,9403,6326,5252,3038,8.30,9.08,7.55,33632,7756,25876,6.19,2.91,9.35
  金湖县,3968,19474,36894,54833,63431,55468,33775,20219,7847,5366,3923,2177,8.50,9.45,7.60,19630,2873,16757,6.90,2.09,11.42
盐城市,91143,320637,838717,1117197,1491497,1339873,692079,435904,175167,126833,92400,62563,8.72,9.43,8.04,360978,72939,288039,5.80,2.38,9.14
  亭湖区,7303,28133,79467,103151,152361,149636,112289,80585,43237,30825,37426,30234,10.09,10.73,9.44,30884,5560,25324,3.93,1.41,6.47
  盐都区,8030,30914,83158,105875,140414,129290,74215,41433,20519,21006,8359,5022,8.89,9.56,8.23,32796,5958,26838,5.32,1.96,8.61
  响水县,10608,33203,59456,76052,112533,87188,36573,19566,8798,5695,3989,2326,8.07,8.94,7.21,40879,9318,31561,10.02,4.55,15.51
  滨海县,10791,32864,111185,150428,210743,182687,74231,46817,16298,11501,6714,3838,8.54,9.15,7.94,39912,9223,30689,5.14,2.40,7.83
  阜宁县,10654,35730,106225,143401,189462,163533,62628,35442,13586,8967,5523,3184,8.29,8.97,7.63,41022,8483,32539,5.77,2.42,9.04
  射阳县,8498,32123,106025,154914,187728,163471,87662,52638,21333,14178,7254,4350,8.68,9.39,7.99,34161,6321,27840,4.43,1.65,7.14
  建湖县,6373,24320,87836,113867,159117,150444,74548,45356,16842,10389,6965,3970,8.82,9.47,8.17,28124,5240,22884,4.41,1.66,7.10
  东台市,16479,60246,123931,169102,195395,183798,95270,62764,17996,12264,8270,4913,8.27,9.06,7.55,67406,13519,53887,7.62,3.20,11.66
