首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,
地    区,全部数据,,,长表数据,,,,,,,,,,,,
,家庭户,"平均每户
住房间数
（间/户）","人均住房
建筑面积
（平方米/人）",家庭户,住房内有无管道自来水,,住房内有无厨房,,住房内有无厕所,,住房内有无洗澡设施,,住房来源,,,
,,,,,有,无,有,无,有,无,有,无,租赁,自建,购买,其他
  武强县,56148,4.22,25.71,5743,5039,704,5058,685,4535,1208,3173,2570,26,5332,325,60
  饶阳县,80355,3.34,30.94,7978,7384,594,7594,384,7090,888,4710,3268,118,7457,363,40
  安平县,93142,4.28,33.72,9112,7772,1340,8541,571,7838,1274,6163,2949,161,7873,1055,23
  故城县,136141,3.85,29.90,13598,10150,3448,12404,1194,9289,4309,6161,7437,117,12808,618,55
  景县,147807,3.67,29.56,14916,12821,2095,12844,2072,10783,4133,5601,9315,145,13898,835,38
  阜城县,102326,4.12,31.16,10013,9515,498,8860,1153,8678,1335,3517,6496,106,9371,509,27
  冀州市,116821,3.62,37.39,11536,9958,1578,10796,740,10335,1201,6554,4982,262,10010,1162,102
  深州市,158874,3.78,34.21,15705,14879,826,14716,989,14130,1575,9868,5837,189,14754,666,96
,,,,,,,,,,,,,,,,
山西省,10330207,2.98,25.33,1029717,680727,348990,756066,273651,729498,300219,289466,740251,108913,641081,248653,31070
太原市,1296291,2.47,24.90,129519,102395,27124,108984,20535,99684,29835,61676,67843,28666,29466,64351,7036
  小店区,231500,2.29,26.73,22924,21274,1650,20775,2149,20470,2454,12947,9977,6836,4192,10739,1157
  迎泽区,194429,2.19,25.11,19335,17753,1582,17446,1889,17078,2257,12566,6769,5024,873,12008,1430
  杏花岭区,215005,2.20,23.55,21435,19193,2242,19200,2235,18303,3132,12754,8681,4414,1203,14053,1765
  尖草坪区,119630,2.55,28.10,12066,9705,2361,10332,1734,9488,2578,5354,6712,2044,2871,6603,548
  万柏林区,247395,2.14,23.56,24775,18212,6563,20928,3847,20643,4132,10738,14037,7627,2149,14070,929
  晋源区,59315,3.17,29.14,5913,5179,734,5312,601,4569,1344,2884,3029,647,3102,1756,408
  清徐县,94680,4.01,23.48,9346,3573,5773,5626,3720,3268,6078,1966,7380,336,7572,1103,335
  阳曲县,39068,3.14,25.54,3982,1861,2121,2532,1450,1193,2789,493,3489,292,2955,635,100
  娄烦县,31230,2.27,20.50,3242,1207,2035,1681,1561,841,2401,561,2681,388,2083,636,135
  古交市,64039,2.69,21.61,6501,4438,2063,5152,1349,3831,2670,1413,5088,1058,2466,2748,229
