　　,,,,,,,,,,
表5—1    全国不同规模的家庭户类别,,,,,,,,,,
,,,,,,,,,,
,,,,,,单位:户,,,,
家庭户规模,合计,一代户,二代户,三代户,四代户,五代户及五代以上户,,,,
,,,,,,,,,,
浙江省,1964861,1457408,397568,26596,1033244,502316,276670,18917,206729,5137
安徽省,2623489,1853785,271831,33603,1548351,759345,314424,34718,410203,10359
福建省,1160906,900458,131959,25351,743148,257072,95274,14467,147331,3376
江西省,1525900,1176647,114173,26505,1035969,345794,99919,22180,223695,3459
山东省,3786719,2592890,681089,19365,1892436,1177977,699052,21244,457681,15852
,,,,,,,,,,
河南省,3999821,2819123,409013,38642,2371468,1160096,453643,37609,668844,20602
湖北省,1933353,1458489,150850,17625,1290014,469032,147122,14545,307365,5832
湖南省,2899120,2161155,253144,33778,1874233,729655,236002,27623,466030,8310
广东省,2317751,1754395,311432,61708,1381255,555500,177553,40721,337226,7856
