,,,,,,,,,,,,,,,,,,,,,,,,
表7-16全国县按丈夫年龄和夫妻年龄差分的妻子人数(第二口径),,,,,,,,,,,,,,表7-16全国县按丈夫年龄和夫妻年龄差分的妻子人数(第二口径)(续03),,,,,,,,,,
    单位：人,,,,,,,,,,,,,,    单位：人,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,    丈夫年龄与妻子年龄之差,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,    -10岁及以上
75-79岁,    321 878,    66 823,    70 256,    72 010,    72 098,    76 000,    75 994,    77 516,    79 564,    81 818,    77 032,,,75-79岁,    56 166,    39 330,    25 694,    15 561,    7 885,    3 780,    1 885,    1 030,    637,    948
  75,    84 302,    19 548,    19 691,    21 109,    21 509,    24 215,    22 062,    21 609,    20 984,    23 366,    23 494,,,  75,    18 677,    12 306,    7 781,    5 063,    2 675,    1 243,    626,    354,    225,    316
  76,    78 936,    16 515,    18 349,    18 932,    19 854,    18 229,    17 980,    18 641,    21 362,    21 541,    20 588,,,  76,    14 297,    10 144,    6 882,    4 341,    2 122,    1 005,    477,    281,    161,    241
  77,    62 099,    12 718,    13 638,    13 935,    12 059,    13 372,    14 496,    15 429,    15 710,    16 302,    14 277,,,  77,    9 718,    6 875,    4 961,    2 825,    1 305,    594,    338,    189,    106,    188
  78,    52 977,    9 672,    10 635,    9 884,    10 330,    10 892,    1 1 874,    12 100,    12 931,    11497,    10 245,,,  78,    7 678,    5 945,    3 377,    1 666,    980,    561,    271,    112,    87,    144
  79,    43 564,    8 370,    7 943,    8 150,    8 346,    9 292,    9 582,    9 737,    8 577,    9 112,    8 428,,,  79,    5 796,    4 060,    2 693,    1 666,    803,    377,    173,    94,    58,    59
80-84岁,    128 865,    20 520,    21 304,    20 758,    20 359,    21 828,    21 877,    20 563,    20 793,    20 454,    19 468,,,80-84岁,    13 307,    9 421,    5 652,    3 228,    1 704,    755,    339,    189,    91,    113
  80,    41 575,    6 327,    6 689,    7 076,    7 019,    7 689,    7 953,    7 067,    7 147,    6 553,    6 404,,,  80,    4 700,    3 582,    1 988,    1 166,    730,    344,    140,    95,    50,    56
  81,    29 632,    5 072,    5 339,    5 078,    5 031,    5 678,    5 327,    4 927,    4 743,    5 389,    5 232,,,  81,    3 393,    2 197,    1 480,    878,    448,    203,    82,    58,    20,    28
  82,    23 715,    3 896,    4 005,    3 801,    3 952,    3 720,    3 564,    3 729,    4 132,    3 808,    3 567,,,  82,    2 266,    1 707,    1 066,    590,    264,    121,    69,    21,    11,    12
  83,    18 591,    2 931,    2 975,    2 843,    2 369,    2 628,    2 820,    2 723,    2 618,    2 713,    2 441,,,  83,    1 735,    1 155,    684,    398,    177,    54,    35,    8,    4,    8
  84,    15 352,    2 294,    2 296,    1 960,    1 988,    2 113,    2 213,    2 117,    2153,    1 991,    1 824,,,  84,    1 213,    780,    434,    196,    85,    33,    13,    7,    6,    9
85-89岁,    36 934,    4 439,    4 205,    3 879,    3 891,    4 115,    3 978,    3 649,    3 667,    3 393,    3 052,,,85-89岁,    1 776,    1 050,    576,    307,    115,    40,    12,    14,    8,    19
  85,    12 514,    1 633,    1 551,    1 413,    1 400,    1 757,    1 572,    1 448,    1 465,    1 419,    1 245,,,  85,    715,    452,    262,    170,    68,    14,    4,    6,    5,    4
  86,    9 256,    1 088,    1 029,    984,    1 094,    1 018,    1 059,    974,    1 070,    830,    761,,,  86,    474,    314,    171,    75,    28,    16,    4,    3,    -,    7
  87,    6 649,    763,    713,    759,    693,    649,    679,    609,    522,    552,    507,,,  87,    310,    166,    86,    36,    9,    6,    2,    2,    2,    6
  88,    5 076,    542,    584,    476,    471,    411,    379,    389,    366,    369,    332,,,  88,    199,    90,    35,    20,    8,    4,  -,    1,    -,    1
  89,    3 439,    413,    328,    247,    233,    280,    289,    229,    244,    223,    207,,,  89,    78,    28,    22,    6,    2,    -,    2,    2,    1,    1
90-94岁,    6 362,    444,    429,    344,    320,    361,    307,    262,    243,    219,    173,,,90-94岁,    71,    44,    27,    12,    5,    2,    1,    1,    1,    2
  90,    3 131,    178,    190,    144,    140,    206,    158,    143,    136,    105,    92,,,  90,    36,    18,    14,    3,    1,-,    1,    1,    1,    1
  91,    1 154,    114,    97,    88,    72,    74,    63,    54,    47,    58,    40,,,  91,    16,    9,    2,    6,    1,-,-,-,-,    1
  92,    929,    78,    66,    52,    59,    41,    37,    31,    36,    34,    19,,,  92,    10,    10,    9,    1,    1,    1,-,-,-,-
  93,    637,    37,    47,    38,    34,    24,    25,    27,    12,    12,    14,,,  93,    4,    5,    2,    1,-,    1,-,-,-,-
