表3-29全国各民族有生育的妇女按年龄和孩次分的出生人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
    24,    1 254,    133,    82,    37,    12,    2,-,    107,    65,    37,    5,-,-
  25-29岁,    6 076,    588,    266,    212,    80,    24,    6,    423,    203,    138,    60,    16,    6
    25,    1 392,    156,    88,    50,    13,    5,    -,    114,    66,    33,    13,    2,-
    26,    1 420,    162,    88,    51,    19,    3,    1,    114,    59,    41,    9,    4,    1
    27,    1 389,    126,    52,    51,    17,    4,    2,    94,    46,    26,    16,    4,    2
    28,    914,    81,    28,    25,    16,    10,    2,    48,    21,    18,    6,    3,-
    29,    961,    63,    10,    35,    15,    2,    1,    53,    11,    20,    16,    3,    3
  30-34岁,    5 231,    263,    34,    109,    70,    29,    21,    187,    29,    80,    35,    29,    14
    30,    1 107,    80,    15,    27,    27,    8,    3,    61,    6,    34,    14,    4,    3
    31,    986,    61,    6,    27,    16,    5,    7,    40,    9,    10,    10,    9,    2
    32,    1 101,    53,    6,    28,    11,    5,    3,    35,    8,    14,    2,    8,    3
    33,    1 003,    37,    5,    17,    8,    5,    2,    32,    3,    16,    7,    3,    3
    34,    1 034,    32,    2,    10,    8,    6,    6,    19,    3,    6,    2,    5,    3
  35-39岁,    4 007,    66,    6,    15,    20,    6,    19,    53,    4,    14,    12,    4,    19
    35,    979,    20,    2,    8,    5,    2,    3,    24,    2,    7,    8,    2,    5
    36,    922,    15,    2,    4,    5,   -,    4,    12,    2,    4,    2,-,    4
    37,    706,    18,    2,    3,    8,    1,    4,    6,-,    2,    1,    2,    1
    38,    722,    7,-,-,    1,    2,    4,    9,-,    1,    1,-,    7
    39,    678,    6,-,-,    1,    1,    4,    2,-,-,-,-,    2
  40-44岁,    2 355,    17,    1,    1,    2,    2,    11,    12,-,-,    2,    2,    8
    40,    672,    8,-,    1,    2,-,    5,    5,-,-,    1,-,    4
    41,    510,    1,-,-,-,-,    1,    3,-,-,    1,-,    2
    42,    431,    4,-,-,-,    2,    2,    1,-,-,-,-,    1
    43,    420,    3,    1,-,-,-,    2,    2,-,-,-,    2,-
    44,    322,    1,-,-,-,-,    1,    1,-,-,-,-,    1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表3--29全国各民族有生育的妇女按年龄和孩次分的出生人口数(1989．1．1．--1990．6．30．)(续35),,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  45-49岁,    1 705,    2,-,    1,    1,-,-,    2,-,    1,-,-,    1
    45,    347,    1,-,-,    1,-,-,    1,-,-,-,-,    1
    46,    298,-,-,-,-,-,-,    1,-,    1,-,-,-
    47,    317,-,-,-,-,-,-,-,-,-,-,-,-
    48,    359,-,-,-,-,-,-,-,-,-,-,-,-
    49,    384,    1,-,    1,-,-,-,-,-,-,-,-,-
  50岁,    384,-,-,-,-,-,-,-,-,-,-,-,-
仫佬族,    39 174,    1 489,    663,    551,    190,    63,    22,    2 212,    890,    871,    330,    91,    30
  15-19岁,    8 470,    30,    27,    3,-,-,-,    53,    47,    4,    2,-,-
    15,    1 901,-,-,-,-,-,-,-,-,-,-,-,-
    16,    1 756,-,-,-,-,-,-,-,-,-,-,-,-
    17,    1 636,    1,-,    1,-,-,-,    3,    3,-,-,-,-
    18,    1 530,    12,    12,-,-,-,-,    10,    10,-,-,-,-
    19,    1 647,    17,    15,    2,-,-,-,    40,    34,    4,    2,-,-
  20-24岁,    8 988,    619,    399,    198,    22,-,-,    987,    577,    356,    52,    2,-
    20,    1 761,    54,    48,    6,-,-,-,    91,    73,    18,-,-,-
    21,    1 955,    82,    63,    19,-,-,-,    184,    139,    42,    2,    1,-
    22,    1 782,    120,    81,    37,   2,-,-,    202,    117,    78,    6,    1,-
    23,    1709,    161,    98,    58,    5,-,-,    255,    126,    113,    16,-,-
    24,    1 781,    202,    109,    78,    15,-,-,    255,    122,    105,    28,-,-
  25-29岁,    6 540,    602,    212,    270,    100,    19,    1,    871,    235,    411,    199,    25,    1
    25,    1 739,    202,    83,    93,    23,    3,-,    295,    94,    143,    57,    1,-
    26,    1 687,    163,    64,    68,    24,    7,-,    251,    69,    128,    49,    5,-
    27,    1 657,    148,    45,    70,    28,    4,    1,    199,    50,    80,    57,    12,-
    28,    881,    57,    12,    27,    14,    4,-,    82,    13,    38,    26,    5,-
    29,    576,    32,    8,    12,    11,    1,-,    44,    9,    22,    10,    2,    1
  30-34岁,    4 424,    164,    23,    59,    50,    26,    6,    206,    24,    77,    63,    33,    9
    30,    638,    32,    7,    14,    8,    2,    1,    51,    10,    16,    17,    7,    1
    31,    939,    40,    6,    15,    14,    4,    1,    63,    4,    25,    21,    11,    2
    32,    1 070,    37,    5,    11,    12,    9,-,    45,    4,    19,    13,    8,    1
    33,    875,    32,    4,    10,    12,    5,    1,    25,    2,    11,    7,    4,    1
    34,    902,    23,    1,    9,    4,    6,    3,    22,    4,    6,    5,    3,    4
  35-39岁,    4 453,    61,    2,    19,    14,    17,    9,    78,    5,    21,    14,    24,    14
    35,    937,    7,    2,      5,-,-,-,    27,    2,    6,    5,    9,    5
    36,    979,    22,-,    8,    5,    7,    2,    18,    2,    4,    3,    5,    4
    37,    932,    12,-,    2,    6,    2,    2,    14,    1,    6,    3,    2,    2
    38,    836,    15,-,    4,    1,    6,    4,    10,-,    4,    1,    5,    -
    39,    769,    5,-,-,    2,    2,    1,    9,-,    1,    2,    3,    3
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表3--29全国各民族有生育的妇女按年龄和孩次分的出生人口数(1989．1．1．--1990．6．30．)(续36),,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  40-44岁,    3 002,    10,-,    2,    2,    1,    5,    13,    1,    2,-,    7,    3
    40,    777,    5,-,    1,-,    1,    3,    6,-,    1,-,    5,-
    41,    645,    1,-,    1,-,-,-,    2,    1,-,-,-,    1
    42,    536,    3,-,-,    2,-,    1,    1,-,-,-,    1,-
    43,    509,    1,-,-,-,-,    1,    2,-,-,-,    1,    1
    44,    535,-,-,-,-,-,-,    2,-,    1,-,-,    1
  45-49岁,    2 740,    3,-,-,    2,-,    1,    4,    1,-,-,-,    3
    45,    536,    1,-,-,    1,-,-,    1,-,-,-,-,    1
    46,    576,-,-,-,-,-,-,    1,-,-,-,-,    1
    47,    527,-,-,-,-,-,-,    2,    1,-,-,-,    1
    48,    546,-,-,-,-,-,-,-,-,-,-,-,-
    49,    555,    2,-,-,    1,-,    1,-,-,-,-,-,-
  50岁,    557,-,-,-,-,-,-,-,-,-,-,-,-
羌族,    54 157,    2 130,    758,    711,    344,    172,    145,    2 749,    1 351,    811,    337,    140,    110
  15-19岁,    13 576,    30,    30,-,-,-,-,    89,    84,    5,-,-,-
    15,    2 688,-,-,-,-,-,-,-,-,-,-,-,-
    16,    2 776,-,-,-,-,-,-,    1,    1,-,-,-,-
    17,    2 804,    2,    2,-,-,-,-,-,-,-,-,-,-
    18,    2 684,    5,    5,-,-,-,-,    24,    22,    2,-,-,-
    19,    2 624,    23,    23,-,-,-,-,    64,    61,    3,-,-,-
  20-24岁,    11 455,    850,    537,    258,    48,    7,-,    1 481,    1 048,    378,    54,    1,-
    20,    2 534,    58,    46,    12,-,-,-,    143,    122,    21,-,-,-
    21,    2 612,    144,    110,    31,    3,-,-,    367,    314,    51,    2,-,-
    22,    2 185,    213,    155,    53,    5,-,-,    376,    285,    82,    9,-,-
    23,    2 020,    221,    125,    76,    15,    5,-,    278,    169,    95,    14,-,-
    24,    2 104,    214,    101,    86,    25,    2,-,    317,    158,    129,    29,    1,-
  25-29岁,    7 193,    815,    174,    384,    201,    51,    5,    836,    207,    373,    207,    42,    7
    25,    1 954,    241,    82,    111,    43,    5,-,    299,    111,    138,    44,    6,-
    26,    1 972,    240,    43,    121,    58,    18,-,    237,    56,    105,    68,    8,-
    27,    1 654,    178,    26,    93,    44,    12,    3,    165,    29,    82,    41,    10,    3
    28,    964,    92,    19,    36,    26,    10,    1,    87,    10,    32,    33,    10,    2
    29,    649,    64,    4,    23,    30,    6,    1,    48,    1,    16,    21,    8,    2
  30-34岁,    5 620,    269,    13,    54,    84,    81,    37,    216,    12,    44,    59,    66,    35
    30,    863,    69,    5,    21,    18,    19,    6,    45,    5,    11,    14,    11,    4
    31,    1 021,    60,    5,    9,    23,    12,    11,    55,    4,    11,    14,    17,    9
    32,    1 296,    67,    1,    11,    21,    28,    6,    43,    1,    15,    7,    13,    7
    33,    1 174,    38,    2,    8,    15,    8,    5,    31,    1,    3,    12,    11,    4
    34,    1 266,    35,  -,    5,    7,    14,    9,    42,    1,    4,    12,    14,    11
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  35-39岁,    6 113,    121,    4,    13,    10,    28,    66,    97,-,    8,    15,    23,    51
    35,    1 342,    41,    3,    4,    5,    8,    21,    36,-,    4,    6,    14,    12
    36,    1 295,    26,-,    4,    2,    8,    12,    22,-,    3,    6,    5,    8
    37,    1 310,    24,-,    3,    1,    5,    15,    19,-,    1,    2,    1,    15
    38,    1 231,    18,    1,-,    2,    5,    10,    16,-,-,    1,    3,    12
    39,    935,    12,-,    2,-,    2,    8,    4,-,-,-,-,    4
  40-44岁,    4 768,    38,-,    2,-,    4,    32,    25,-,    3,    2,    6,    14
    40,    961,    11,-,    1,-,-,    10,    8,-,    2,    1,    3,    2
    41,    929,    12,-,    1,-,    2,    9,    8,-,    1,-,    2,    5
    42,    942,    5,-,-,-,    1,    4,    3,-,-,-,-,    3
    43,    1 018,    7,-,-,-,-,    7,    3,-,-,    1,    1,    1
    44,    918,    3,-,-,-,    1,    2,    3,-,-,-,-,    3
  45-49岁,    4 589,    7,-,-,    1,    1,    5,    4,-,-,-,    2,2
    45,    845,    2,-,-,-,-,    2,    1,-,-,-,-,    1
    46,    964,    1,-,-,-,-,    1,    2,-,-,-,    1,    1
    47,    906,    1,-,-,-,-,    1,    1,-,-,-,    1,-
    48,    902,    1,-,-,-,    1,-,-,-,-,-,-,-
    49,    972,    2,-,-,    1,-,    1,-,-,-,-,-,-
  50岁,    843,   -,-,-,-,-,-,    1,-,-,-,-,    1
布朗族,    19 710,    1 381,    390,    321,    235,    143,    292,    1 253,    378,    300,    225,    144,    206
  15-19岁,    4 398,    53,    43,    10,-,-,-,    63,    56,   7,-,-,-
    15,    960,   -,-,-,-,-,-,-,-,-,-,-,-
    16,    963,    1,    1,-,-,-,-,    2,    2,-,-,-,-
    17,    852,    3,    3,-,-,-,-,    6,    5,    1,-,-,-
    18,    897,    17,    15,    2,-,-,-,    21,19,    2,-,-,-
    19,    726,    32,    24,    8,-,-,-,    34,    30,    4,-,-,-
  20-24岁,    4 060,    471,    244,    156,    56,    11,    4,    467,    247,    151,    57,    11,    1
    20,    892,    65,    52,    12,    1,-,-,    85,    64,    17,    4,-,-
    21,    844,    76,    49,    25,    2,-,-,    97,    63,    29,    4,    1,-
    22,    756,    86,    39,    38,    8,    1,-,    86,    47,    27,    11,    1,-
    23,    770,    108,    49,    39,    16,    3,    1,    91,    39,    36,    14,    2,-
    24,    798,    136,    55,    42,    29,    7,    3,    108,    34,    42,    24,    7,    1
  25-29岁,    3 227,    449,    84,    126,    135,    69,    35,    404,    62,    111,    123,    81,    27
    25,    752,    116,    32,    42,    31,    11,     -,    98,    18,    40,    26,    13,    1
    26,    746,    113,    21,    34,    38,    15,    5,    97,    15,    30,    31,    17,    4
    27,    690,    79,    19,    18,    21,    14,    7,    99,    13,    22,    36,    19,    9
    28,    610,    83,    5,    20,    27,    19,    12,    64,    11,    12,    16,    19,    6
    29,    429,    58,    7,    12,    18,    10,    11,    46,     5,    7,    14,    13,    7
  30-34岁,    2 531,    219,    13,    22,    35,    44,    105,    183,    12,    21,    35,    42,    73
    30,    514,    52,    3,    5,    13,    15,    16,    55,    4,    12,    11,    14,    14
    31,    527,    50,    4,    7,    6,    12,    21,    46,    3,    3,    10,    9,    21
    32,    524,    39,    1,    3,    6,    8,    21,    30,     3,  -,    5,    11,    11
    33,    519,    43,    2,    5,    9,    5,    22,    32,    2,    5,    5,    3,    17
    34,    447,    35,    3,    2,    1,    4,    25,    20,    -,    1,    4,    5,    10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表3--29全国各民族有生育的妇女按年龄和孩次分的出生人口数(1989．1．1．--1990．6．30．)(续38),,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  35-39岁,    2 124,    128,    5,    7,    9,    19,    88,    93,    1,    9,    10,    8,    65
    35,    513,    35,    1,    4,    2,    8,    20,    30,    1,    3,    3,    2,    21
    36,    440,    36,    2,    2,    4,    6,    22,    20,-,    1,    3,    2,    14
    37,    438,    23,-,-,    1,    2,    20,    13,-,    2,    2,    -,    9
    38,    417,    26,    1,    1,    2,    3,    19,    14,-,    1,    1,    1,    11
    39,    316,    8,    1,-,-,-,    7,    16,-,    2,    1,    3,    10
  40-44岁,    1 740,    54,    1,-,-,-,    53,    32,-,-,-,    2,    30
    40,    424,    12,    1,-,-,-,    11,    12,-,-,-,    1,    11
    41,    350,    13,-,-,-,-,    13,    4,-,-,-,-,    4
    42,    324,    14,-,-,-,-,    14,    6,-,-,-,-,    6
    43,    346,    8,-,-,-,-,    8,    3,-,-,-,-,    3
    44,    296,    7,-,-,-,-,    7,    7,-,-,-,    1,    6
  45-49岁,    1 349,    7,-,-,-,-,    7,    10,-,-,-,-,    10
    45,    288,    2,-,-,-,-,    2,    5,-,-,-,-,    5
    46,    278,    3,-,-,-,-,    3,-,-,-,-,-,   -
    47,    253,    1,-,-,-,-,    1,    3,-,-,-,-,    3
    48,    291,-,-,-,-,-,-,    2,-,-,-,-,    2
    49,    239,    1,-,-,-,-,    1,-,-,-,-,-,-
  50岁,    281,-,-,-,-,-,-,    1,-,    1,-,-,-
撒拉族,    21 018,    1 384,    440,    314,    209,    143,    278,    1 254,    467,    291,    191,    116,    189
  15-19岁,    5 338,    73,    66,    7,-,-,-,    114,    104,    10,-,-,-
    15,    1 085,-,-,-,-,-,-,-,-,-,-,-,-
    16,    1 104,     2,   2,-,-,-,-,    2,    2,-,-,-,-
    17,    947,    4,    4,-,-,-,-,    7,    7,-,-,-,-
    18,    1 152,    20,    19,    1,-,-,-,    47,    44,    3,-,-,-
    19,    1 050,    47,    41,    6,-,-,-,    58,    51,    7,-,-,-
  20-24岁,    4 823,    588,    305,    210,    62,    10,    1,    574,    305,    185,    71,    12,    1
    20,    1 241,    104,    78,    24,    2,-,-,    124,    95,    26,    3,-,-
    21,    952,    111,    77,    28,    5,    1,-,    125,    78,    37,    10,-,-
    22,    955,    136,    76,    51,    9,-,-,    126,    62,    46,    15,    3,-
    23,    868,    129,    48,    60,    18,    3,-,    97,    40,    38,    16,    2,    1
    24,    807,    108,    26,    47,    28,    6,    1,    102,    30,    38,    27,    7,-
  25-29岁,    2 865,    327,    50,    77,    108,    68,    24,    299,    50,    81,    86,    61,    21
    25,    845,    98,    19,    33,    32,    11,    3,    100,    26,    31,    33,    10,-
    26,    714,    93,    18,    21,    31,    16,    7,    76,    11,    25,    23,    13,    4
    27,    599,    64,    5,    13,    22,    20,    4,    58,    4,    16,    16,    16,    6
    28,    462,    46,    4,    6,    17,    12,    7,    46,    8,    6,    9,    14,    9
    29,    245,    26,    4,    4,    6,    9,    3,    19,    1,    3,    5,    8,    2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  30-34岁,    2 011,    182,    10,    15,    27,    37,    93,    134,    7,    11,    23,    27,    66
    30,    377,    32,    3,    5,    9,    7,    8,    34,    4,    5,    8,    7,    10
    31,    314,    32,    3,    4,    4,    9,    12,    17,-,    2,    2,    2,    11
    32,    437,    48,    3,    3,    7,    9,    26,    24,   2,    3,    6,    3,    10
    33,    464,    39,-,    2,        5,    6,    26,        31,    1,-,    3,    7,    20
    34,    419,    31,    1,    1,    2,    6,    21,    28,-,    1,    4,    8,    15
  35-39岁,    2 085,    132,    4,    4,    8,    22,    94,    94,-,    2,    10,    11,    71
    35,    460,    38,    2,    3,    2,    9,    22,    26,-,-,    6,    3,    17
    36,    387,    24,    1,    1,-,    5,    17,    23,-,-,    2,    3,    18
    37,    413,    28,-,-,    3,    3,    22,    13,-,    1,    1,    2,    9
    38,    416,    24,    1,-,    2,    4,    17,    16,-,    1,-,    2,    13
    39,    409,    18,-,-,    1,    1,    16,    16,-,-,    1,    1,    14
  40-44岁,    1 943,    57,    3,    1,    3,    4,    46,    30,-,-,    1,    4,    25
    40,    466,    20,    1,-,    3,    2,    14,    6,-,-,-,    1,    5
    41,    345,    9,-,    1,-,-,    8,    7,-,-,-,    1,    6
