表8    家庭户住房状况（全部数据、长表数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
县市名,全 部 数 据,,,长    表    数    据  （户）,,,,,,,,,,,,,
,家庭户（户）,平均每户住房间数,人均住房建筑面积,家庭户,住房中有无厨房,,是否饮用自来水,,住房中有无洗澡设施,,住房中有无厕所,,住房来源,,,,
,,（间/户）,（平方米/人）,,有,    无    ,    是    ,    否    ,有,    无    ,有,    无    ,自建,购买,租用,其他,
,,,,,,,,,,,,,,,,,
娄烦县,27799,2.49,16.73,2821,1487,1334,817,2004,135,2686,2519,302,2029,354,115,323,
古交市,56521,3.11,17.36,5704,4385,1319,4199,1505,442,5262,4755,949,2582,2110,720,292,
大同市,888361,2.41,15.51,88685,41812,46873,56094,32591,5342,83343,66379,22306,47385,24059,13116,4125,
城区,177291,2.00,18.54,17537,14749,2788,17164,373,3638,13899,13111,4426,665,11343,4537,992,
矿区,143100,1.93,13.64,14359,9266,5093,12308,2051,547,13812,7719,6640,2905,8326,2673,455,
南郊区,120181,2.38,14.89,11815,3492,8323,8734,3081,333,11482,6773,5042,7128,966,3241,480,
新荣区,31692,2.45,15.56,3161,924,2237,607,2554,32,3129,2617,544,2289,297,295,280,
阳高县,75276,2.88,15.34,7581,1519,6062,5828,1753,165,7416,6706,875,6490,557,236,298,
天镇县,53125,3.31,16.59,5389,1600,3789,2322,3067,75,5314,5062,327,4851,254,119,165,
广灵县,45933,1.68,16.41,4608,549,4059,652,3956,41,4567,4550,58,3937,255,237,179,
灵丘县,60219,3.13,14.60,6109,2418,3691,1996,4113,149,5960,4987,1122,5543,290,170,106,
浑源县,87897,2.76,13.63,8737,3906,4831,1978,6759,88,8649,7724,1013,7447,623,429,238,
左云县,45664,2.59,14.67,4588,1688,2900,1382,3206,177,4411,3040,1548,2634,583,868,503,
大同县,47983,2.69,16.41,4801,1701,3100,3123,1678,97,4704,4090,711,3496,565,311,429,
阳泉市,366289,2.64,19.29,36753,33843,2910,26840,9913,3841,32912,30452,6301,21437,9372,4422,1522,
城区,49744,2.09,17.76,4942,4402,540,4865,77,1265,3677,3944,998,68,3027,1646,201,
矿区,66073,1.96,15.47,6617,5953,664,6551,66,464,6153,4484,2133,762,4196,1497,162,
郊区,76628,3.04,21.58,7617,7110,507,4889,2728,536,7081,6152,1465,5807,782,696,332,
平定县,93036,2.95,22.07,9370,8936,434,5205,4165,836,8534,8429,941,7533,796,396,645,
盂县,80808,2.82,17.78,8207,7442,765,5330,2877,740,7467,7443,764,7267,571,187,182,
长治市,817897,4.09,21.10,81839,68035,13804,40306,41533,6616,75223,71479,10360,62821,10794,4255,3969,
城区,97384,3.04,21.47,9529,8502,1027,9266,263,2327,7202,7674,1855,2410,5191,1444,484,
郊区,74892,3.86,21.37,7503,6801,702,4714,2789,882,6621,6586,917,4066,2069,1029,339,
长治县,82149,4.84,20.81,7905,6996,909,4694,3211,424,7481,7490,415,7417,233,73,182,
襄垣县,64081,3.67,22.66,6454,6179,275,3141,3313,601,5853,5927,527,4978,785,285,406,
屯留县,61804,5.04,22.51,6226,5177,1049,1318,4908,208,6018,5670,556,5580,308,91,247,
平顺县,44495,3.94,19.01,4514,4080,434,1046,3468,143,4371,4295,219,3984,120,74,336,
黎城县,44409,4.10,27.23,4457,4323,134,2040,2417,128,4329,4401,56,3912,238,112,195,
壶关县,72759,4.52,20.35,7386,5258,2128,2295,5091,195,7191,5864,1522,6846,201,57,282,
长子县,84529,5.28,23.11,8477,7023,1454,2997,5480,590,7887,7272,1205,7917,157,163,240,
武乡县,52487,3.20,17.66,5351,4623,728,1793,3558,160,5191,4617,734,4443,224,182,502,
沁县,44716,3.14,13.94,4525,1719,2806,974,3551,155,4370,2778,1747,3816,291,151,267,
沁源县,39881,3.77,13.54,4050,2236,1814,2208,1842,176,3874,3668,382,3305,277,262,206,
潞城市,54311,4.19,26.09,5462,5118,344,3820,1642,627,4835,5237,225,4147,700,332,283,
晋城市,591283,4.15,21.69,59095,51416,7679,44278,14817,6618,52477,45384,13711,44481,6405,3632,4577,
城区,87053,3.03,20.77,8365,6933,1432,8014,351,1969,6396,4840,3525,2393,3947,1483,542,
沁水县,61241,3.28,19.26,6166,4600,1566,5191,975,583,5583,4912,1254,4661,378,504,623,
阳城县,115181,4.96,27.14,11577,10096,1481,9002,2575,1367,10210,8809,2768,9524,488,556,1009,
陵川县,67725,4.62,19.85,6797,5664,1133,3010,3787,246,6551,5876,921,5918,190,138,551,
泽州县,136594,3.87,21.40,13825,12753,1072,9183,4642,1157,12668,11304,2521,11234,645,594,1352,
高平市,123489,4.68,19.99,12365,11370,995,9878,2487,1296,11069,9643,2722,10751,757,357,500,
朔州市,385121,3.10,17.28,38481,13835,24646,15654,22827,3126,35355,32251,6230,27525,5646,2866,2444,
朔城区,103105,2.95,16.22,10330,5173,5157,5023,5307,1883,8447,9047,1283,6210,2382,942,796,
平鲁区,43982,3.06,18.63,4450,1212,3238,1210,3240,223,4227,3511,939,3290,514,387,259,
山阴县,58268,3.50,19.31,5818,1196,4622,1502,4316,202,5616,5232,586,4620,568,204,426,
应县,73861,3.30,17.10,7390,2977,4413,3151,4239,257,7133,6782,608,6390,538,177,285,
右玉县,28212,2.67,14.73,2849,645,2204,881,1968,80,2769,2018,831,2057,334,284,174,
怀仁县,77693,3.00,17.46,7644,2632,5012,3887,3757,481,7163,5661,1983,4958,1310,872,504,
晋中市,868910,2.70,20.60,87139,63877,23262,75081,12058,8136,79003,80921,6218,61109,13083,6265,6682,
榆次区,155808,2.53,20.99,15537,14367,1170,14976,561,2530,13007,13668,1869,7635,5101,2153,648,
榆社县,37547,2.61,18.82,3830,973,2857,3087,743,160,3670,3623,207,3091,310,220,209,
左权县,44252,3.32,20.21,4502,4071,431,3256,1246,400,4102,4258,244,4041,200,154,107,
和顺县,38925,2.62,18.38,3944,3675,269,3039,905,326,3618,3664,280,3188,292,290,174,
昔阳县,73008,2.58,21.27,7455,6995,460,5547,1908,487,6968,7077,378,5529,1107,340,479,
寿阳县,64073,2.90,25.33,6509,5765,744,3918,2591,487,6022,5636,873,5038,517,314,640,
太谷县,79301,3.48,23.52,7923,7414,509,7747,176,757,7166,7464,459,6059,1124,488,252,
祁县,71221,3.09,21.43,7071,6133,938,6767,304,644,6427,6816,255,5956,587,223,305,
平遥县,128371,2.72,15.46,12785,5344,7441,11909,876,522,12263,12087,698,10745,743,582,715,
灵石县,67776,2.39,23.41,6811,3822,2989,4913,1898,723,6088,6188,623,3859,1325,757,870,
介休市,108628,2.08,20.81,10772,5318,5454,9922,850,1100,9672,10440,332,5968,1777,744,2283,
运城市,1162691,4.21,20.60,114170,96624,17546,93357,20813,7412,106758,101089,13081,98789,7372,5093,2916,
盐湖区,146408,4.02,22.43,14279,11553,2726,11443,2836,1832,12447,12092,2187,10528,2215,1000,536,
临猗县,129546,4.64,23.60,12669,11865,804,11517,1152,1029,11640,11357,1312,11903,370,209,187,
万荣县,97626,4.76,17.90,9476,9002,474,5488,3988,604,8872,8732,744,9176,120,73,107,
闻喜县,90387,2.82,20.28,8910,8309,601,8222,688,498,8412,8416,494,7903,504,328,175,
稷山县,73570,5.07,19.99,7229,6985,244,6400,829,378,6851,6647,582,6887,90,121,131,
新绛县,73111,4.49,20.49,7223,5857,1366,6273,950,234,6989,6752,471,6619,290,196,118,
绛县,65823,4.28,17.78,6522,5760,762,5516,1006,157,6365,6286,236,5367,845,165,145,
垣曲县,59810,4.03,20.51,5928,4886,1042,3861,2067,357,5571,4699,1229,4197,217,1356,158,
夏县,77572,6.70,22.29,7702,6772,930,6499,1203,274,7428,7150,552,7373,51,91,187,
平陆县,59992,3.92,21.48,5901,3662,2239,3959,1942,340,5561,3911,1990,5280,212,172,237,
芮城县,95478,4.15,19.18,9422,6889,2533,6639,2783,454,8968,8065,1357,8336,205,464,417,
永济市,105903,3.33,20.96,10531,9241,1290,10052,479,493,10038,9431,1100,8711,1173,376,271,
河津市,87465,2.98,18.48,8378,5843,2535,7488,890,762,7616,7551,827,6509,1080,542,247,
忻州市,817916,3.92,18.02,82109,37978,44131,46162,35947,4693,77416,72971,9138,66900,7601,3966,3642,
忻府区,142510,4.08,21.75,14162,7594,6568,12255,1907,1404,12758,13635,527,10227,2753,736,446,
定襄县,59830,6.04,22.80,5961,1564,4397,5586,375,466,5495,5812,149,5442,261,115,143,
五台县,83467,4.64,16.94,8378,4132,4246,5631,2747,293,8085,8130,248,7648,347,114,269,
代县,58288,3.73,16.07,5889,2887,3002,2824,3065,405,5484,5320,569,4914,393,270,312,
繁峙县,63960,3.77,14.63,6424,4274,2150,3259,3165,214,6210,5441,983,5527,378,305,214,
宁武县,41318,3.03,13.06,4181,1470,2711,974,3207,196,3985,2515,1666,2917,649,267,348,
静乐县,39065,3.04,12.74,3995,1234,2761,749,3246,111,3884,3060,935,3458,179,161,197,
神池县,29561,3.14,16.29,3002,667,2335,1156,1846,34,2968,2369,633,2499,250,179,74,
五寨县,32150,3.26,18.35,3182,1057,2125,1742,1440,134,3048,2949,233,2591,274,168,149,
岢岚县,22015,2.97,17.32,2233,982,1251,946,1287,43,2190,1994,239,1794,256,109,74,
河曲县,39165,3.71,22.89,3988,1677,2311,1092,2896,146,3842,3821,167,3232,270,211,275,
保德县,38252,2.25,16.07,3937,1028,2909,892,3045,206,3731,3187,750,3317,185,299,136,
偏关县,31246,2.52,17.63,3199,578,2621,702,2497,65,3134,2904,295,2554,185,162,298,
原平市,137089,4.35,18.40,13578,8834,4744,8354,5224,976,12602,11834,1744,10780,1221,870,707,
临汾市,966003,3.04,20.82,95991,68243,27748,51727,44264,7069,88922,82185,13806,75679,10654,5669,3989,
尧都区,179968,3.43,23.02,17785,15284,2501,11423,6362,2196,15589,14611,3174,11068,3994,2052,671,
曲沃县,52793,2.10,20.05,5195,4585,610,3807,1388,336,4859,5040,155,4731,153,166,145,
翼城县,76768,4.03,21.67,7711,5918,1793,3955,3756,347,7364,6705,1006,6463,638,202,408,
襄汾县,112522,3.91,19.04,11333,10166,1167,6388,4945,716,10617,10250,1083,10514,357,212,250,
洪洞县,158733,2.70,21.94,15788,11911,3877,7302,8486,812,14976,13994,1794,14194,761,399,434,
古县,21044,2.99,17.48,2098,1164,934,1003,1095,108,1990,1711,387,1803,108,67,120,
安泽县,21432,3.31,19.12,2138,931,1207,1272,866,62,2076,1937,201,1718,171,92,157,
浮山县,32208,2.88,21.58,3211,1701,1510,1049,2162,57,3154,2843,368,2713,153,147,198,
吉县,26270,1.54,16.78,2447,950,1497,1172,1275,90,2357,2330,117,2081,129,151,86,
乡宁县,48629,2.99,20.84,4888,1914,2974,1019,3869,171,4717,4567,321,4361,141,235,151,
大宁县,14642,2.07,17.10,1452,346,1106,529,923,53,1399,810,642,1008,147,148,149,
隰县,23140,2.31,18.23,2333,1509,824,1158,1175,134,2199,1575,758,2001,182,85,65,
永和县,15691,2.15,16.79,1574,446,1128,405,1169,35,1539,963,611,1220,149,136,69,
蒲县,22413,2.76,19.80,2151,1287,864,629,1522,97,2054,1872,279,1744,140,137,130,
汾西县,30247,2.72,24.70,3068,1312,1756,490,2578,123,2945,2994,74,2349,177,151,391,
侯马市,61240,3.05,20.69,5996,5067,929,5499,497,957,5039,5059,937,2983,2130,625,258,
霍州市,68263,2.52,18.90,6823,3752,3071,4627,2196,775,6048,4924,1899,4728,1124,664,307,
吕梁地区,860454,2.66,17.44,85595,57968,27627,36338,49257,5359,80236,74290,11305,69430,6987,3879,5299,
孝义市,106964,2.85,20.26,10626,8547,2079,7771,2855,1247,9379,7918,2708,7039,2268,652,667,
离石市,59679,2.30,19.45,5952,3229,2723,2182,3770,856,5096,4858,1094,3684,959,803,506,
汾阳市,102129,3.46,20.83,10143,4689,5454,2204,7939,651,9492,9200,943,8270,1031,395,447,
文水县,101758,3.04,16.60,9885,9045,840,9001,884,458,9427,9656,229,9126,365,172,222,
交城县,53259,3.45,14.98,5297,2715,2582,4458,839,294,5003,5204,93,4579,343,148,227,
兴县,65877,1.78,14.12,6216,2883,3333,2292,3924,311,5905,1991,4225,5317,358,334,207,
临县,142979,2.10,15.87,14391,13926,465,2037,12354,347,14044,14287,104,12787,532,327,745,
柳林县,69713,1.93,15.32,7106,2579,4527,1306,5800,327,6779,6749,357,5385,239,357,1125,
石楼县,24438,2.40,17.06,2504,2258,246,813,1691,100,2404,2184,320,2248,95,62,99,
岚县,39583,3.97,15.75,4063,1710,2353,1244,2819,223,3840,3546,517,3694,198,77,94,
方山县,34092,2.33,17.34,3397,3086,311,878,2519,128,3269,3249,148,2878,207,125,187,
中阳县,33261,2.48,20.66,3397,1314,2083,1407,1990,152,3245,3217,180,2762,189,171,275,
交口县,26722,2.76,19.43,2618,1987,631,745,1873,265,2353,2231,387,1661,203,256,498,
,,,,,,,,,,,,,,,,,
内蒙古自治区,6784470,1.90,16.38,669492,511593,157899,285450,384042,59217,610275,354240,315252,410649,169790,62530,26523,
呼和浩特市,722377,1.86,15.17,71015,38102,32913,49634,21381,11049,59966,32185,38830,32237,19413,15223,4142,
新城区,127619,1.90,17.95,12422,8670,3752,11279,1143,4120,8302,8011,4411,1793,6000,3514,1115,
回民区,93629,1.71,14.81,9074,5338,3736,8575,499,1815,7259,4173,4901,1271,3381,4057,365,
玉泉区,88679,1.57,13.44,8679,4543,4136,6470,2209,1152,7527,2374,6305,2293,2410,3268,708,
赛罕区,133740,1.89,16.32,13188,8929,4259,10414,2774,3403,9785,8528,4660,4046,5221,3102,819,
土默特左旗,96875,1.88,14.22,9655,4328,5327,6627,3028,265,9390,4744,4911,8152,734,443,326,
托克托县,50819,1.98,17.52,4976,2142,2834,3372,1604,79,4897,2708,2268,4236,444,166,130,
和林格尔县,47059,2.58,13.41,4662,1327,3335,944,3718,66,4596,940,3722,4031,356,149,126,
清水河县,36243,1.59,13.79,3621,777,2844,1032,2589,51,3570,328,3293,2519,382,295,425,
武川县,47714,1.87,11.65,4738,2048,2690,921,3817,98,4640,379,4359,3896,485,229,128,
包头市,733402,1.67,14.62,72868,51195,21673,59838,13030,10671,62197,35931,36937,25302,30583,13293,3690,
东河区,144094,1.77,15.45,14304,8838,5466,13469,835,1889,12415,5915,8389,3105,7813,2934,452,
昆都伦区,166567,1.85,17.73,16385,13308,3077,15924,461,4054,12331,12292,4093,1079,10227,4252,827,
青山区,125661,1.75,17.87,12402,10339,2063,11818,584,3634,8768,9043,3359,539,7914,3032,917,
石拐区,18402,1.90,13.42,1833,829,1004,1549,284,49,1784,331,1502,536,1039,175,83,
白云矿区,8388,1.95,15.67,835,730,105,748,87,90,745,497,338,52,573,131,79,
九原区,89972,1.46,12.72,8881,5395,3486,7195,1686,374,8507,4042,4839,5520,1051,1803,507,
土默特右旗,98654,1.37,10.60,9968,7973,1995,5173,4795,285,9683,3285,6683,8276,935,406,351,
固阳县,51497,1.43,9.32,5171,2206,2965,2798,2373,205,4966,393,4778,4069,540,351,211,
达尔罕茂明安联合旗,30167,1.72,11.26,3089,1577,1512,1164,1925,91,2998,133,2956,2126,491,209,263,
乌海市,136468,1.96,18.77,13293,11205,2088,12472,821,1626,11667,2062,11231,3702,6979,1877,735,
海勃湾区,62740,1.98,19.56,6070,4803,1267,5590,480,1035,5035,1443,4627,1258,3416,1053,343,
海南区,32763,1.98,17.28,3196,2790,406,3006,190,334,2862,275,2921,1061,1696,223,216,
乌达区,40965,1.93,18.71,4027,3612,415,3876,151,257,3770,344,3683,1383,1867,601,176,
赤峰市,1213005,1.87,17.23,118883,114505,4378,39757,79126,6236,112647,93357,25526,92302,18455,5412,2714,
红山区,96878,2.03,20.25,9450,9123,327,8670,780,1793,7657,6732,2718,1941,5386,1619,504,
元宝山区,88349,1.80,19.00,8655,8498,157,7139,1516,969,7686,6875,1780,3595,4289,558,213,
松山区,141463,1.81,19.44,14251,13745,506,6153,8098,487,13764,13149,1102,11389,1542,1062,258,
阿鲁科尔沁旗,81841,2.05,15.24,7912,7139,773,1585,6327,453,7459,5553,2359,6729,776,185,222,
巴林左旗,91772,1.38,16.20,9014,8797,217,1953,7061,299,8715,7031,1983,7562,951,252,249,
巴林右旗,50226,1.63,16.94,4991,4426,565,1103,3888,243,4748,1678,3313,3734,808,321,128,
林西县,70991,1.35,16.98,7023,6645,378,2352,4671,184,6839,5607,1416,5862,797,197,167,
克什克腾旗,71373,1.49,16.34,6736,6501,235,1339,5397,167,6569,997,5739,5162,1178,194,202,
翁牛特旗,121499,1.78,15.66,12111,11743,368,1407,10704,474,11637,9525,2586,10876,910,180,145,
喀喇沁旗,92886,2.15,17.96,8972,8811,161,2989,5983,261,8711,8616,356,8066,613,134,159,
宁城县,153004,1.68,15.75,15120,14701,419,2305,12815,440,14680,13631,1489,13923,631,334,232,
敖汉旗,152723,2.63,17.29,14648,14376,272,2762,11886,466,14182,13963,685,13463,574,376,235,
通辽市,793449,2.22,17.07,79355,71127,8228,25967,53388,9415,69940,65897,13458,62620,13206,2220,1309,
科尔沁区,221838,1.87,18.23,21831,20934,897,17044,4787,5233,16598,18746,3085,12897,7379,1112,443,
科尔沁左翼中旗,125183,2.74,15.75,12555,10931,1624,1139,11416,779,11776,9656,2899,11347,883,169,156,
科尔沁左翼后旗,99486,1.75,16.11,10027,9441,586,1237,8790,591,9436,8248,1779,8659,1104,175,89,
开鲁县,103189,2.06,17.54,10408,10061,347,2390,8018,931,9477,8806,1602,9343,765,104,196,
库伦旗,43837,2.53,18.25,4465,4249,216,827,3638,177,4288,3901,564,3981,384,60,40,
奈曼旗,105858,2.28,16.78,10684,10320,364,1439,9245,434,10250,10445,239,9768,582,221,113,
扎鲁特旗,74486,3.01,17.01,7446,3395,4051,845,6601,530,6916,5117,2329,6125,986,164,171,
霍林郭勒市,19572,2.07,15.50,1939,1796,143,1046,893,740,1199,978,961,500,1123,215,101,
呼伦贝尔盟,789970,1.67,16.25,77560,73339,4221,17993,59567,5579,71981,40215,37345,33579,33962,5735,4284,
海拉尔市,80683,1.89,18.70,7985,7634,351,4198,3787,2161,5824,3586,4399,1758,4828,1064,335,
满洲里市,59492,1.88,18.46,5935,5726,209,4050,1885,535,5400,1785,4150,1619,2892,860,564,
扎兰屯市,111419,1.65,16.32,10865,10491,374,1238,9627,543,10322,7808,3057,6353,3328,706,478,
牙克石市,130490,1.56,15.40,12762,11394,1368,1958,10804,496,12266,2586,10176,3832,7370,874,686,
根河市,49651,1.61,15.28,4812,4626,186,590,4222,119,4693,622,4190,1717,2820,97,178,
额尔古纳市,27937,1.65,18.21,2793,2737,56,212,2581,164,2629,2682,111,1087,1378,164,164,
阿荣旗,79734,1.52,16.33,7797,7592,205,928,6869,251,7546,6874,923,5275,1877,320,325,
莫力达瓦达斡尔族自治旗,78015,1.57,15.26,7736,7570,166,1427,6309,464,7272,7002,734,5219,1735,436,346,
鄂伦春自治旗,85025,1.64,14.93,8355,7997,358,778,7577,162,8193,2863,5492,3414,3629,642,670,
鄂温克族自治旗,44460,1.79,16.83,4278,4029,249,2004,2274,544,3734,1902,2376,1191,2519,321,247,
新巴尔虎右旗,10546,1.67,14.16,1032,750,282,138,894,20,1012,224,808,535,351,59,87,
新巴尔虎左旗,11958,1.60,14.29,1188,914,274,96,1092,29,1159,632,556,672,357,61,98,
陈巴尔虎旗,20560,1.91,16.63,2022,1879,143,376,1646,91,1931,1649,373,907,878,131,106,
兴安盟,425423,1.49,17.25,41594,39979,1615,6685,34909,2723,38871,27060,14534,27343,9977,2158,2116,
乌兰浩特市,79688,1.55,18.58,7759,7547,212,4070,3689,1145,6614,3297,4462,2650,3584,1109,416,
阿尔山市,14879,1.43,15.52,1427,1404,23,125,1302,11,1416,1104,323,363,894,82,88,
科尔沁右翼前旗,88050,1.51,17.69,8592,8262,330,65,8527,117,8475,3805,4787,6390,1687,136,379,
科尔沁右翼中旗,60260,1.57,16.14,5996,5646,350,629,5367,764,5232,4218,1778,4678,955,204,159,
扎赉特旗,100869,1.45,15.38,9878,9345,533,765,9113,470,9408,7757,2121,7197,1503,399,779,
突泉县,81677,1.38,19.19,7942,7775,167,1031,6911,216,7726,6879,1063,6065,1354,228,295,
锡林郭勒盟,294302,2.02,15.39,28983,13024,15959,9667,19316,1686,27297,7965,21018,16613,7846,2981,1543,
二连浩特市,16629,1.35,11.35,1522,819,703,1480,42,228,1294,313,1209,186,297,925,114,
锡林浩特市,53477,1.91,16.63,5187,3311,1876,2632,2555,996,4191,1445,3742,1412,2708,651,416,
阿巴嘎旗,14475,1.48,16.09,1436,561,875,360,1076,45,1391,35,1401,829,404,111,92,
苏尼特左旗,11100,1.46,14.64,1103,594,509,179,924,17,1086,16,1087,618,384,57,44,
苏尼特右旗,24515,1.63,14.46,2426,905,1521,1168,1258,107,2319,146,2280,1140,614,527,145,
东乌珠穆沁旗,24827,1.79,15.94,2411,1122,1289,801,1610,57,2354,53,2358,1106,768,278,259,
西乌珠穆沁旗,19488,2.49,15.89,1930,1001,929,280,1650,61,1869,109,1821,1187,595,62,86,
太仆寺旗,53333,2.84,15.71,5330,303,5027,878,4452,50,5280,2589,2741,4413,729,89,99,
镶黄旗,8077,1.47,16.26,829,390,439,325,504,23,806,9,820,558,183,28,60,
正镶白旗,19373,2.49,15.80,1952,1102,850,374,1578,24,1928,376,1576,1488,297,89,78,
正蓝旗,21277,2.31,15.52,2103,1173,930,334,1769,36,2067,233,1870,1498,421,100,84,
多伦县,27731,1.39,13.86,2754,1743,1011,856,1898,42,2712,2641,113,2178,446,64,66,
乌兰察布盟,709582,2.32,13.88,70269,26165,44104,20698,49571,2773,67496,28303,41966,54469,10375,3149,2276,
集宁市,85286,1.96,15.38,8330,4980,3350,7616,714,1347,6983,2852,5478,2088,4593,1357,292,
丰镇市,80049,2.41,14.95,7738,1259,6479,2032,5706,285,7453,4443,3295,5871,1222,379,266,
卓资县,52773,2.16,12.34,5261,1882,3379,894,4367,107,5154,635,4626,4314,529,188,230,
化德县,42970,2.45,14.23,4282,1326,2956,963,3319,73,4209,1633,2649,3640,323,136,183,
商都县,87784,2.09,12.47,8729,5200,3529,979,7750,149,8580,4416,4313,7654,618,182,275,
兴和县,74120,2.74,14.40,7343,2296,5047,1480,5863,81,7262,4856,2487,6652,400,99,192,
凉城县,63581,2.55,15.90,6359,2565,3794,1982,4377,241,6118,2883,3476,5537,465,128,229,
察哈尔右翼前旗,66829,2.59,14.92,6666,1948,4718,1592,5074,127,6539,3354,3312,5727,606,146,187,
察哈尔右翼中旗,52501,2.16,12.27,5248,1382,3866,885,4363,65,5183,1297,3951,4396,575,93,184,
察哈尔右翼后旗,49281,2.41,13.03,4904,1293,3611,1037,3867,128,4776,1301,3603,4081,519,212,92,
四子王旗,54408,2.02,11.65,5409,2034,3375,1238,4171,170,5239,633,4776,4509,525,229,146,
伊克昭盟,424062,1.71,16.62,42167,28090,14077,17708,24459,4297,37870,4519,37648,27466,7077,6196,1428,
东胜市,83793,1.62,17.88,8306,6285,2021,5443,2863,1552,6754,1728,6578,2721,2750,2587,248,
达拉特旗,91635,1.66,14.50,9193,5437,3756,4328,4865,580,8613,1153,8040,7309,751,826,307,
准格尔旗,84430,1.75,15.04,8401,4114,4287,2111,6290,1018,7383,1022,7379,5802,1261,1051,287,
鄂托克前旗,19921,2.02,20.85,1982,1734,248,790,1192,124,1858,42,1940,1411,298,183,90,
鄂托克旗,31233,1.94,19.71,3081,2444,637,1590,1491,286,2795,69,3012,2000,567,364,150,
杭锦旗,37981,1.62,16.53,3809,2835,974,954,2855,140,3669,120,3689,2759,575,352,123,
乌审旗,28581,1.93,17.68,2816,2139,677,924,1892,171,2645,40,2776,2149,321,279,67,
伊金霍洛旗,46488,1.55,17.21,4579,3102,1477,1568,3011,426,4153,345,4234,3315,554,554,156,
巴彦淖尔盟,484032,2.03,18.62,47658,40239,7419,20996,26662,2550,45108,16066,31592,32214,10095,3458,1891,
临河市,148810,2.00,19.59,14482,13009,1473,5432,9050,1085,13397,5984,8498,8227,3966,1816,473,
五原县,76122,2.10,18.34,7560,6251,1309,2712,4848,235,7325,2820,4740,6018,924,394,224,
磴口县,35317,2.08,19.90,3473,3066,407,1261,2212,124,3349,518,2955,1978,1094,187,214,
乌拉特前旗,93937,1.92,17.23,9275,6934,2341,5622,3653,571,8704,1770,7505,6297,1944,502,532,
乌拉特中旗,39379,1.94,17.26,3929,2989,940,1289,2640,107,3822,708,3221,2768,736,212,213,
乌拉特后旗,14314,2.05,18.77,1418,1227,191,781,637,47,1371,207,1211,760,478,82,98,
杭锦后旗,76153,2.18,18.82,7521,6763,758,3899,3622,381,7140,4059,3462,6166,953,265,137,
阿拉善盟,58398,2.41,23.68,5847,4623,1224,4035,1812,612,5235,680,5167,2802,1822,828,395,
阿拉善左旗,43226,2.42,23.95,4284,3457,827,2914,1370,399,3885,432,3852,2188,1285,526,285,
阿拉善右旗,7793,2.65,23.05,789,528,261,540,249,41,748,17,772,392,323,29,45,
额济纳旗,7379,2.08,22.63,774,638,136,581,193,172,602,231,543,222,214,273,65,
,,,,,,,,,,,,,,,,,
辽宁省,12866262,2.08,19.67,1267124,1240234,26890,735794,531330,218577,1048547,1196252,70872,640078,407858,187894,31306,
沈阳市,2258706,1.83,18.80,223294,213368,9926,156061,67233,66091,157203,211789,11505,74663,91130,50977,6536,
和平区,202303,1.80,18.02,19482,18728,754,19295,187,10371,9111,18179,1303,448,10983,7487,568,
沈河区,194003,1.78,18.91,19186,18983,203,19114,72,10900,8286,19106,80,254,9756,8833,346,
大东区,208547,1.61,15.87,20637,20257,380,20500,137,7429,13208,17674,2963,1484,11091,7524,539,
皇姑区,215201,1.74,17.00,21501,21057,444,21422,79,9744,11757,19434,2067,1040,12317,7574,571,
铁西区,243575,1.61,15.57,24048,23523,525,23914,134,8387,15661,22041,2007,541,12891,9456,1160,
苏家屯区,144610,1.84,19.89,14418,14289,129,7852,6566,2905,11513,14349,69,5835,6713,1490,381,
东陵区,182149,1.92,20.03,18066,17799,267,6975,11091,4403,13663,17951,115,7574,6633,3455,406,
新城子区,94780,1.80,19.76,9517,9433,84,6883,2634,1090,8427,9418,99,5691,3099,533,194,
于洪区,191473,1.83,19.82,18818,18336,482,16401,2417,4815,14003,16295,2523,6653,7115,3442,1608,
辽中县,160640,2.02,21.41,15883,15792,91,2776,13107,2325,13558,15861,22,10848,4208,620,207,
