21.市(不含市辖县)人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    总人口数,,,    市区人口数,,,    郊区人口数,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  (续),,,,,,,,,
  柳州市区,"    585,369","    306,971","    278,398","    430,812","    229,449","    201,363","    1 54,557","    77,522","    77,035"
  桂林市区,"    429,976","    223,263","    206,71 3","    290,869","    155,034","    1 35,835","    139,107","    68,229","    70,878"
  梧州市区,"    251,1 52","    128,578","    122,574","    182,388","    96,304","    86,084","    68,764","    32,274","    36,490"
  凭祥市,"    78,300","    39,210",39090,15045,"    8,088",6957,"    63,255","    31,122","    32,133"
  合山市,"    101,696","    55,219","    46,477","    41,503","    25,188","    16,315","    60,193","    30,031","    30,162"
  北海市,"    168,441","    86,534","    81,907","    72,838","    38,193","    34,645","    95,603","    48,341","    47,262"
四川省,"    9,880,472","    5,138,338","    4,742，134","    3,715,961","    1,988,579","    1,727,382","    6,164,511","    3,149,759","    3,014,752"
  成都市区,"    2,466,515","    1,271,489","    1,195,026","    1,237,510","    654,455","    583,055","    1,229,005",617034,"    611,971"
  重庆市区,2634492,"    1,359,227","    1,275,265","    455,962","    231,366","    224,596","    2,178,530","    1,127,861","    1,050,669"
  自贡市区,"    875,337","    448,766","    426,571","    548,325","    279,883","    268,442","    327,012","    168,883","    158,129"
  渡口市区,"    517,557","    303,206","    214,351","    330,857","    210,004","    120,853","    186,700","    93,202","    93,498"
  万县市,"    269,758","    137,415","    132,343","    121,305","    64,203","    57,102",148453,"    73,212","    75,241"
  内江市,"    278,591","    143,155","    135,436","    1 42,475","    75,197","    67,278","    136,116","    67,958","    68,158"
  宜宾市,"    245,064","    126,366","    118,698","    182,533","    96,51 7","    86,016","    62,531","    29,849","    32,682"
  泸州市,"    303,403","    1 57,368","    146,035","    125,691","    65,609","    60,082","    177,712","    91,759","    85,953"
